video_name,video_path,true_label,predicted_label,confidence,video_type,detector_used,mode,correct,flag,mmd_score,face_ratio
002.mp4,/mnt/datasets_remote/sunstarVideos/0_real/002.mp4,real,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,0.875
025.mp4,/mnt/datasets_remote/sunstarVideos/0_real/025.mp4,real,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,0.875
027.mp4,/mnt/datasets_remote/sunstarVideos/0_real/027.mp4,real,real,0.5285532994923857,fully_synthetic,NSG-VD,balanced,True,,0.5944,0.125
029.mp4,/mnt/datasets_remote/sunstarVideos/0_real/029.mp4,real,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,1.0
031.mp4,/mnt/datasets_remote/sunstarVideos/0_real/031.mp4,real,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,1.0
033.mp4,/mnt/datasets_remote/sunstarVideos/0_real/033.mp4,real,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,1.0
039.mp4,/mnt/datasets_remote/sunstarVideos/0_real/039.mp4,real,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,0.75
047.mp4,/mnt/datasets_remote/sunstarVideos/0_real/047.mp4,real,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,0.75
048.mp4,/mnt/datasets_remote/sunstarVideos/0_real/048.mp4,real,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,1.0
049.mp4,/mnt/datasets_remote/sunstarVideos/0_real/049.mp4,real,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,0.625
109.mp4,/mnt/datasets_remote/sunstarVideos/0_real/109.mp4,real,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,1.0
115.mp4,/mnt/datasets_remote/sunstarVideos/0_real/115.mp4,real,real,0.21964625634517765,uncertain,Ensemble,balanced,True,MANUAL_REVIEW,0.3377,0.375
156.mp4,/mnt/datasets_remote/sunstarVideos/0_real/156.mp4,real,real,0.23418464467005073,uncertain,Ensemble,balanced,True,MANUAL_REVIEW,0.2766,0.375
158.mp4,/mnt/datasets_remote/sunstarVideos/0_real/158.mp4,real,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,1.0
161.mp4,/mnt/datasets_remote/sunstarVideos/0_real/161.mp4,real,real,0.21807582487309643,uncertain,Ensemble,balanced,True,MANUAL_REVIEW,0.3443,0.25
162.mp4,/mnt/datasets_remote/sunstarVideos/0_real/162.mp4,real,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,1.0
163.mp4,/mnt/datasets_remote/sunstarVideos/0_real/163.mp4,real,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,1.0
166.mp4,/mnt/datasets_remote/sunstarVideos/0_real/166.mp4,real,real,0.17905298223350255,uncertain,Ensemble,balanced,True,MANUAL_REVIEW,0.5083,0.5
167.mp4,/mnt/datasets_remote/sunstarVideos/0_real/167.mp4,real,real,0.24187024111675126,uncertain,Ensemble,balanced,True,MANUAL_REVIEW,0.2443,0.25
168.mp4,/mnt/datasets_remote/sunstarVideos/0_real/168.mp4,real,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,1.0
169.mp4,/mnt/datasets_remote/sunstarVideos/0_real/169.mp4,real,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,0.625
170.mp4,/mnt/datasets_remote/sunstarVideos/0_real/170.mp4,real,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,1.0
176.mp4,/mnt/datasets_remote/sunstarVideos/0_real/176.mp4,real,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,1.0
181.mp4,/mnt/datasets_remote/sunstarVideos/0_real/181.mp4,real,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,1.0
184.mp4,/mnt/datasets_remote/sunstarVideos/0_real/184.mp4,real,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,0.625
187.mp4,/mnt/datasets_remote/sunstarVideos/0_real/187.mp4,real,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,0.625
189.mp4,/mnt/datasets_remote/sunstarVideos/0_real/189.mp4,real,real,0.45225253807106597,fully_synthetic,NSG-VD,balanced,True,,0.6906,0.125
001.mp4,/mnt/datasets_remote/sunstarVideos/1_fake/001.mp4,fake,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,1.0
005.mp4,/mnt/datasets_remote/sunstarVideos/1_fake/005.mp4,fake,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,0.75
006.mp4,/mnt/datasets_remote/sunstarVideos/1_fake/006.mp4,fake,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,1.0
007.mp4,/mnt/datasets_remote/sunstarVideos/1_fake/007.mp4,fake,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,0.625
008.mp4,/mnt/datasets_remote/sunstarVideos/1_fake/008.mp4,fake,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,0.75
009.mp4,/mnt/datasets_remote/sunstarVideos/1_fake/009.mp4,fake,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,0.875
011.mp4,/mnt/datasets_remote/sunstarVideos/1_fake/011.mp4,fake,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,1.0
014.mp4,/mnt/datasets_remote/sunstarVideos/1_fake/014.mp4,fake,real,0.233684961928934,uncertain,Ensemble,balanced,False,MANUAL_REVIEW,0.2787,0.375
016.mp4,/mnt/datasets_remote/sunstarVideos/1_fake/016.mp4,fake,real,0.8118654822335024,fully_synthetic,NSG-VD,balanced,False,,0.2372,0.0
133.mp4,/mnt/datasets_remote/sunstarVideos/1_fake/133.mp4,fake,real,0.05544098984771562,fully_synthetic,NSG-VD,balanced,False,MANUAL_REVIEW,1.1909,0.125
134.mp4,/mnt/datasets_remote/sunstarVideos/1_fake/134.mp4,fake,real,0.7714149746192893,fully_synthetic,NSG-VD,balanced,False,,0.2882,0.0
140.mp4,/mnt/datasets_remote/sunstarVideos/1_fake/140.mp4,fake,real,0.004021256345177698,uncertain,Ensemble,balanced,False,MANUAL_REVIEW,1.2777,0.375
173.mp4,/mnt/datasets_remote/sunstarVideos/1_fake/173.mp4,fake,real,0.24041878172588832,uncertain,Ensemble,balanced,False,MANUAL_REVIEW,0.2504,0.5
174.mp4,/mnt/datasets_remote/sunstarVideos/1_fake/174.mp4,fake,real,0.24772366751269032,uncertain,Ensemble,balanced,False,MANUAL_REVIEW,0.2197,0.375
175.mp4,/mnt/datasets_remote/sunstarVideos/1_fake/175.mp4,fake,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,0.875
179.mp4,/mnt/datasets_remote/sunstarVideos/1_fake/179.mp4,fake,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,1.0
180.mp4,/mnt/datasets_remote/sunstarVideos/1_fake/180.mp4,fake,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,0.875
183.mp4,/mnt/datasets_remote/sunstarVideos/1_fake/183.mp4,fake,uncertain,0.0,face_manipulation,Face-Models,balanced,False,MANUAL_REVIEW,,1.0
