video_name,video_path,true_label,predicted_label,mmd_score,confidence,correct
007.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/007.mp4,real,real,0.5369,0.4631,True
008_02.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/008_02.mp4,real,real,0.3944,0.6056,True
013_02.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/013_02.mp4,real,real,0.1247,0.8753,True
014_01.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/014_01.mp4,real,real,0.2707,0.7293,True
014_04.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/014_04.mp4,real,real,0.1759,0.8241,True
016.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/016.mp4,real,real,0.0983,0.9017,True
020.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/020.mp4,real,real,0.1098,0.8902,True
027.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/027.mp4,real,real,0.2748,0.7252,True
029_02.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/029_02.mp4,real,real,0.2779,0.7221,True
049_01.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/049_01.mp4,real,real,0.491,0.509,True
049_02.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/049_02.mp4,real,real,0.1373,0.8627,True
133_01.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/133_01.mp4,real,real,0.2803,0.7197,True
134.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/134.mp4,real,real,0.0562,0.9438,True
140.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/140.mp4,real,real,0.3269,0.6731,True
156_01.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/156_01.mp4,real,real,0.0496,0.9504,True
156_02.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/156_02.mp4,real,real,0.1303,0.8697,True
161_01.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/161_01.mp4,real,real,0.0783,0.9217,True
169_02.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/169_02.mp4,real,real,0.1994,0.8006,True
172.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/172.mp4,real,real,0.0896,0.9104,True
173.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/173.mp4,real,real,0.1,0.9,True
174.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/174.mp4,real,real,0.1703,0.8297,True
178_01.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/178_01.mp4,real,real,0.0883,0.9117,True
179.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/179.mp4,real,real,0.1052,0.8948,True
180.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/180.mp4,real,real,0.0713,0.9287,True
007.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/007.mp4,fake,real,0.5369,0.4631,False
008_02.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/008_02.mp4,fake,real,0.3944,0.6056,False
013_02.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/013_02.mp4,fake,real,0.1247,0.8753,False
014_01.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/014_01.mp4,fake,real,0.2707,0.7293,False
014_04.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/014_04.mp4,fake,real,0.1759,0.8241,False
016.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/016.mp4,fake,real,0.0983,0.9017,False
020.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/020.mp4,fake,real,0.1098,0.8902,False
027.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/027.mp4,fake,real,0.2748,0.7252,False
029_02.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/029_02.mp4,fake,real,0.2779,0.7221,False
049_01.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/049_01.mp4,fake,real,0.491,0.509,False
049_02.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/049_02.mp4,fake,real,0.1373,0.8627,False
133_01.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/133_01.mp4,fake,real,0.2803,0.7197,False
134.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/134.mp4,fake,real,0.0562,0.9438,False
140.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/140.mp4,fake,real,0.3269,0.6731,False
156_01.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/156_01.mp4,fake,real,0.0496,0.9504,False
156_02.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/156_02.mp4,fake,real,0.1303,0.8697,False
161_01.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/161_01.mp4,fake,real,0.0783,0.9217,False
169_02.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/169_02.mp4,fake,real,0.1994,0.8006,False
172.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/172.mp4,fake,real,0.0896,0.9104,False
173.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/173.mp4,fake,real,0.1,0.9,False
174.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/174.mp4,fake,real,0.1703,0.8297,False
178_01.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/178_01.mp4,fake,real,0.0883,0.9117,False
179.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/179.mp4,fake,real,0.1052,0.8948,False
180.mp4,/data/Shared_Datasets/SunCorpuration_no_face_seg/180.mp4,fake,real,0.0713,0.9287,False
