video_name,video_path,true_label,predicted_label,mmd_score,confidence,correct
002_01.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/002_01.mp4,real,real,0.294,0.706,True
002_02.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/002_02.mp4,real,real,0.165,0.835,True
025_01.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/025_01.mp4,real,real,0.0684,0.9316,True
029_01.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/029_01.mp4,real,real,0.0977,0.9023,True
031_01.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/031_01.mp4,real,real,0.0772,0.9228,True
031_02.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/031_02.mp4,real,real,0.1179,0.8821,True
033_01.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/033_01.mp4,real,real,0.0678,0.9322,True
033_04.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/033_04.mp4,real,real,0.1573,0.8427,True
033_05.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/033_05.mp4,real,real,0.0544,0.9456,True
039_01.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/039_01.mp4,real,real,0.0626,0.9374,True
039_02.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/039_02.mp4,real,real,0.1554,0.8446,True
047_01.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/047_01.mp4,real,real,0.0896,0.9104,True
048_01.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/048_01.mp4,real,real,0.0499,0.9501,True
048_02.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/048_02.mp4,real,real,0.4298,0.5702,True
048_04.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/048_04.mp4,real,real,0.2584,0.7416,True
109.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/109.mp4,real,real,0.1118,0.8882,True
110_01.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/110_01.mp4,real,real,0.2648,0.7352,True
110_02.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/110_02.mp4,real,real,0.3572,0.6428,True
158.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/158.mp4,real,real,0.0983,0.9017,True
162.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/162.mp4,real,real,0.5321,0.4679,True
163_01.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/163_01.mp4,real,real,0.1959,0.8041,True
167_01.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/167_01.mp4,real,real,0.209,0.791,True
168.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/168.mp4,real,real,0.1461,0.8539,True
169_01.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/169_01.mp4,real,real,0.1178,0.8822,True
170.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/170.mp4,real,real,0.2579,0.7421,True
176.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/176.mp4,real,real,0.1928,0.8072,True
181.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/181.mp4,real,real,0.151,0.849,True
184_01.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/184_01.mp4,real,real,0.1191,0.8809,True
185.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/185.mp4,real,real,0.1447,0.8553,True
189_02.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/real/189_02.mp4,real,real,0.0799,0.9201,True
001.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/fake/001.mp4,fake,real,0.1447,0.8553,False
005_01.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/fake/005_01.mp4,fake,real,0.1236,0.8764,False
006.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/fake/006.mp4,fake,real,0.5102,0.4898,False
008_01.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/fake/008_01.mp4,fake,real,0.1024,0.8976,False
009_01.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/fake/009_01.mp4,fake,real,0.9351,0.0649,False
011_03.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/fake/011_03.mp4,fake,real,0.1497,0.8503,False
175.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/fake/175.mp4,fake,real,0.0612,0.9388,False
183.mp4,/data/Shared_Datasets/segmented_data_for_awais_and_umar/fake/183.mp4,fake,real,0.2721,0.7279,False
